[2026-09-11T17:14:12.261Z] GET file:///Users/Victor/Documents/Whirlpool/index.html → 200 (4ms, 359049B)
[2026-09-11T17:30:53.951Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (1ms, -814B)
[2026-09-11T17:47:42.969Z] GET file:///Users/Victor/Documents/Whirlpool/index.html → 200 (?ms, 375458B)
[2026-09-11T17:47:42.975Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (9ms, -698B)
[2026-09-11T17:47:42.991Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-09-11T17:47:42.991Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-09-11T17:48:55.414Z] GET file:///Users/Victor/Documents/Whirlpool/index.html → 200 (?ms, 378772B)
[2026-09-11T17:48:55.418Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (5ms, -698B)
[2026-09-11T17:48:55.432Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-09-11T17:48:55.432Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-09-11T17:49:43.004Z] GET file:///Users/Victor/Documents/Whirlpool/index.html → 200 (1ms, 378772B)
[2026-09-11T17:49:43.008Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (1ms, -698B)
[2026-09-11T17:49:43.021Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-09-11T17:49:43.021Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
